codauto,ine.ccaa.name,cpro,ine.prov.name,cmun,name,LAU_CODE,GISCO_ID,CNTR_CODE,LAU_NAME,POP_2024,POP_DENS_2024,AREA_KM2,YEAR,no2_median,pm25_median,nombre_limpio,renta.pc,renta_log,no2_log,pm25_log
"12",Galicia,"15","Coruña, A","027",Coirós,"15027",ES_15027,ES,Coirós,0,0,33.61624325,2024,2.460693359375,3.3392333984375,coiros,18.388,2.91169827794398,0.900443163635534,1.20574125921864
"12",Galicia,"15","Coruña, A","028",Corcubión,"15028",ES_15028,ES,Corcubión,0,0,6.50868953,2024,1.459716796875,3.59228515625,corcubion,18.047,2.89297946597916,0.378242442161561,1.27878853377287
"12",Galicia,"15","Coruña, A","029",Coristanco,"15029",ES_15029,ES,Coristanco,0,0,141.1219704,2024,1.75644244013814,3.42842739003194,coristanco,16.216,2.7859984091497,0.563290422552956,1.23210166916945
"12",Galicia,"15","Coruña, A","030","Coruña, A","15030",ES_15030,ES,"Coruña, A",0,0,37.72055929,2024,3.6375732421875,3.7655029296875,"coruna, a",24.327,3.19158684463053,1.29131676760418,1.32588143259309
"12",Galicia,"15","Coruña, A","031",Culleredo,"15031",ES_15031,ES,Culleredo,0,0,62.13386851,2024,3.38109242011234,3.70068019524745,culleredo,20.682,3.02926375676278,1.21819885849333,1.30851663930767
"12",Galicia,"15","Coruña, A","032",Curtis,"15032",ES_15032,ES,Curtis,0,0,116.69519153,2024,1.81411231386886,3.22304093894915,curtis,17.71,2.87412945179474,0.595596264808739,1.17032530487772
"12",Galicia,"15","Coruña, A","033",Dodro,"15033",ES_15033,ES,Dodro,0,0,36.12273133,2024,1.94823586814546,3.7993275593407,dodro,16.883,2.82630719849506,0.666924280100677,1.33482409300518
"12",Galicia,"15","Coruña, A","034",Dumbría,"15034",ES_15034,ES,Dumbría,0,0,124.76468385,2024,1.42917027398452,3.54785301898433,dumbria,15.528,2.74264484586671,0.357094047891564,1.26634263714739
"12",Galicia,"15","Coruña, A","035",Fene,"15035",ES_15035,ES,Fene,0,0,26.32007061,2024,3.10655483857136,3.40379640791575,fene,17.83,2.88088243187505,1.1335143432135,1.22489139926199
"12",Galicia,"15","Coruña, A","036",Ferrol,"15036",ES_15036,ES,Ferrol,0,0,82.6187986,2024,3.31813243532051,3.69103681621548,ferrol,18.354,2.90984753439682,1.19940210517318,1.30590739858914
"12",Galicia,"15","Coruña, A","037",Fisterra,"15037",ES_15037,ES,Fisterra,0,0,29.42090066,2024,1.48046875,3.672607421875,fisterra,16.219,2.78618339450555,0.392358760602864,1.30090187897848
"12",Galicia,"15","Coruña, A","038",Frades,"15038",ES_15038,ES,Frades,0,0,81.73965929,2024,2.20028174701326,3.52161342676892,frades,17.503,2.8623722948087,0.788585418988621,1.25891924447274
"12",Galicia,"15","Coruña, A","039",Irixoa,"15039",ES_15039,ES,Irixoa,0,0,68.04984865,2024,2.47173947514516,3.27826503366438,irixoa,18.241,2.90367180770478,0.904922143728049,1.18731432929988
"12",Galicia,"15","Coruña, A","040",Laxe,"15040",ES_15040,ES,Laxe,0,0,36.4039344,2024,1.54153344368961,3.37030447710406,laxe,17.487,2.86145774773152,0.432777663658259,1.21500308957206
"12",Galicia,"15","Coruña, A","041","Laracha, A","15041",ES_15041,ES,"Laracha, A",0,0,125.80302432,2024,2.81980210295461,3.63238163020919,"laracha, a",17.598,2.86778525922337,1.03666670623032,1.28988852961592
"12",Galicia,"15","Coruña, A","042",Lousame,"15042",ES_15042,ES,Lousame,0,0,93.64729484,2024,1.77717297031022,3.83911808037786,lousame,15.18,2.71997877196748,0.575023882820485,1.34524267365397
"12",Galicia,"15","Coruña, A","043",Malpica de Bergantiños,"15043",ES_15043,ES,Malpica de Bergantiños,0,0,61.36342297,2024,1.77754844737884,3.46892116675341,malpica de bergantinos,17.187,2.84415328409455,0.575235138233155,1.24384364266552
